1	1	2	4	2	4	1	3	2	2	1
2	1	3	4	1	1	1	3	3	3	1
3	1	4	3	1	1	1	4	4	4	1
4	1	2	3	1	1	1	1	1	1	1
5	1	3	3	1	1	1	3	3	1	1
6	1	4	4	1	1	1	4	4	4	1
7	1	5	5	1	1	1	5	5	5	1
8	1	4	5	1	1	1	4	4	4	1
9	1	4	5	1	1	1	5	4	4	1
10	1	4	5	1	1	1	4	5	4	1
11	1	2	3	1	1	1	3	3	4	1
12	1	2	3	1	1	1	4	2	3	1
13	1	5	5	1	1	1	5	5	5	1
14	1	4	4	1	1	1	4	4	4	1
15	1	3	3	1	1	1	2	2	1	1
16	1	1	2	1	1	1	2	2	1	1
17	1	3	4	1	2	1	3	3	3	1
18	2	2	5	1	1	1	3	3	5	1
19	2	4	3	1	1	1	4	4	4	1
20	1	4	4	2	1	1	4	4	4	1
21	2	4	3	1	1	1	4	3	5	1
22	2	4	4	1	2	1	4	4	4	1
23	2	3	5	1	2	1	4	4	4	1
24	2	4	3	2	2	1	4	4	5	1
25	2	4	5	3	1	1	4	5	4	1
26	4	1	3	4	2	1	4	2	3	1
27	3	4	3	3	1	2	5	3	5	3
28	1	2	5	1	1	1	3	3	2	1
29	1	4	3	1	1	1	4	3	4	1
30	1	2	2	1	1	1	3	2	3	1
31	1	4	5	1	1	1	5	5	5	1
32	1	4	4	1	1	1	4	4	4	1
33	1	5	5	1	1	1	5	5	5	1
34	1	4	4	1	1	1	4	3	5	1
35	1	2	3	1	1	1	3	3	2	1
36	1	2	2	1	1	1	4	4	4	1
37	1	3	4	1	1	1	3	3	3	1
38	1	4	3	1	1	1	3	2	2	1
39	1	1	3	1	1	1	5	2	5	1
40	1	3	4	1	2	1	4	3	4	1
41	1	3	3	1	2	1	3	3	2	1
42	2	3	4	1	1	1	3	3	3	1
43	1	4	5	1	2	1	4	3	3	1
44	1	4	4	2	1	1	4	4	3	1
45	1	3	3	1	2	1	4	3	3	1
46	1	4	3	1	2	1	4	4	3	1
47	2	4	4	1	1	1	3	3	4	1
48	2	1	4	1	1	1	3	1	3	1
49	1	4	3	2	1	1	4	4	3	1
50	2	3	2	1	2	1	3	3	3	1
51	1	3	4	2	2	1	4	4	4	1
52	1	3	4	1	3	1	3	2	3	1
53	3	3	4	1	1	1	3	3	3	1
54	1	5	4	1	1	2	4	4	4	2
